date,avg_sentiment_score,close,daily_return
2025-01-02,0.0,576.2802734375,
2025-01-03,-1.0,583.4857788085938,0.012503473922702568
2025-01-06,1.0,586.8470458984375,0.00576066668960995
2025-01-07,1.0,580.2131958007812,-0.011304223381579992
2025-01-08,1.0,581.0609130859375,0.0014610444769120878
2025-01-10,1.0,572.1896362304688,-0.015267378437752055
2025-01-13,1.0,573.0768432617188,0.0015505471876331445
2025-01-14,1.0,573.8652954101562,0.0013758227325151307
2025-01-15,1.0,584.303955078125,0.01819008703167513
2025-01-16,1.0,583.1802368164062,-0.0019231741492636845
2025-01-17,1.0,589.0353393554688,0.010039953635990084
